IP:PORT, LOSS, DELAY,,
162.159.192.83:1387,0.00%,141 ms,,
162.159.192.50:1018,0.00%,141 ms,,
162.159.195.205:7152,0.00%,141 ms,,
162.159.192.52:4198,0.00%,141 ms,,
162.159.195.57:8854,0.00%,141 ms,,
162.159.192.106:4198,0.00%,141 ms,,
162.159.195.187:4177,0.00%,141 ms,,
162.159.195.146:955,0.00%,141 ms,,
162.159.195.208:4177,0.00%,141 ms,,
162.159.192.19:942,0.00%,141 ms,,
162.159.192.83:946,0.00%,141 ms,,
162.159.192.72:1387,0.00%,141 ms,,
162.159.192.90:946,0.00%,142 ms,,
162.159.192.98:4198,0.00%,142 ms,,
162.159.192.106:1387,0.00%,142 ms,,
162.159.192.56:880,0.00%,142 ms,,
162.159.192.138:1070,0.00%,142 ms,,
162.159.192.26:1018,0.00%,142 ms,,
162.159.195.76:1074,0.00%,142 ms,,
162.159.192.120:4198,0.00%,142 ms,,
162.159.195.220:3581,0.00%,142 ms,,
162.159.195.38:934,0.00%,142 ms,,
162.159.192.201:908,0.00%,142 ms,,
162.159.195.158:500,0.00%,142 ms,,
162.159.195.238:891,0.00%,142 ms,,
162.159.195.164:942,0.00%,142 ms,,
162.159.195.228:946,0.00%,142 ms,,
162.159.195.85:1074,0.00%,142 ms,,
162.159.192.61:880,0.00%,142 ms,,
162.159.195.153:942,0.00%,142 ms,,
162.159.195.65:8742,0.00%,142 ms,,
162.159.195.208:7152,0.00%,142 ms,,
162.159.192.225:890,0.00%,142 ms,,
162.159.195.161:500,0.00%,142 ms,,
162.159.192.165:8319,0.00%,142 ms,,
162.159.195.55:8742,0.00%,142 ms,,
162.159.195.222:946,0.00%,142 ms,,
162.159.192.247:864,0.00%,142 ms,,
162.159.195.187:7152,0.00%,142 ms,,
162.159.195.71:1074,0.00%,142 ms,,
162.159.195.224:3581,0.00%,142 ms,,
162.159.192.37:942,0.00%,142 ms,,
162.159.195.1:939,0.00%,142 ms,,
162.159.192.93:946,0.00%,142 ms,,
162.159.192.81:1387,0.00%,143 ms,,
162.159.195.3:864,0.00%,143 ms,,
162.159.195.155:942,0.00%,143 ms,,
162.159.192.81:946,0.00%,143 ms,,
162.159.192.185:8886,0.00%,143 ms,,
162.159.192.87:946,0.00%,143 ms,,
162.159.195.39:934,0.00%,143 ms,,
162.159.192.191:908,0.00%,143 ms,,
162.159.195.82:1074,0.00%,143 ms,,
162.159.192.183:934,0.00%,143 ms,,
162.159.195.72:890,0.00%,143 ms,,
162.159.195.139:1387,0.00%,143 ms,,
162.159.192.37:1018,0.00%,143 ms,,
162.159.192.150:3138,0.00%,143 ms,,
162.159.195.43:5956,0.00%,143 ms,,
162.159.192.92:1387,0.00%,143 ms,,
162.159.195.92:4198,0.00%,143 ms,,
162.159.192.80:1387,0.00%,143 ms,,
162.159.192.249:864,0.00%,143 ms,,
162.159.192.19:1018,0.00%,143 ms,,
162.159.195.59:8854,0.00%,143 ms,,
162.159.195.132:1387,0.00%,143 ms,,
162.159.195.22:4198,0.00%,143 ms,,
